Symbol,Date,Expiry,Strike Price,Put Price,Call Price,Close,Volatility
NIFTY,14-Feb-2014,26-Feb-2014,7850,1340.05,9.9,6048.35,1.4081175039874
NIFTY,03-Feb-2014,27-Mar-2014,4750,0.05,1780.4,6001.8,-1.38458621767602
NIFTY,10-Jan-2014,26-Feb-2014,6500,311.4,935,6171.45,
NIFTY,22-Mar-2014,27-Dec-2018,3600,1.2,3782.65,6494.9,0.818839781487077
NIFTY,04-Feb-2014,30-Jun-2016,6600,742,3176.3,6000.9,0.482216997001119
NIFTY,28-Feb-2014,25-Jun-2015,7300,370.8,1841.7,6276.95,
NIFTY,18-Mar-2014,29-May-2014,7800,1343.55,616.35,6516.65,
NIFTY,04-Mar-2014,27-Dec-2018,4100,10.2,3687.85,6297.95,0.189146062152843
NIFTY,24-Feb-2014,30-Jun-2016,3100,23.3,2941.35,6186.1,
NIFTY,26-Feb-2014,24-Dec-2014,8800,1761.45,232,6238.8,0.882143344942141
NIFTY,18-Feb-2014,29-Dec-2016,2800,41.25,2978.25,6127.1,0.236715055606288
NIFTY,12-Feb-2014,25-Jun-2015,4600,161.85,1819,6084,0.165279665277428
NIFTY,13-Mar-2014,29-May-2014,6850,488.8,210.65,6493.1,0.740786393948314
NIFTY,28-Jan-2014,25-Jun-2015,4800,215,1674.4,6126.25,
NIFTY,07-Jan-2014,28-Jun-2018,4500,83.15,1472.65,6162.25,
NIFTY,12-Feb-2014,25-Jun-2015,5700,532,884.4,6084,
NIFTY,04-Mar-2014,29-Jun-2017,6100,229.3,1615.85,6297.95,
NIFTY,12-Mar-2014,24-Apr-2014,4950,0.3,1066.35,6516.9,0.925057009374103
NIFTY,05-Feb-2014,25-Sep-2014,5900,490.65,2148.55,6022.4,0.628303490768709
NIFTY,07-Feb-2014,30-Jun-2016,5700,450,1345,6063.2,0.375868464750478
NIFTY,23-Jan-2014,29-Dec-2016,4300,212.6,1562,6345.65,0.159092720613902
NIFTY,21-Jan-2014,28-Dec-2017,3700,0.1,1318.35,6313.8,1.07008775229304
NIFTY,06-Jan-2014,25-Jun-2015,5400,436.6,1648.45,6191.45,
NIFTY,26-Feb-2014,24-Dec-2014,5100,626.25,2882.95,6238.8,0.16190905586694
NIFTY,05-Mar-2014,25-Jun-2015,5000,253,1200.05,6328.65,0.12258363437985
NIFTY,21-Mar-2014,29-Dec-2016,5500,510,1793.3,6493.2,0.882614553310398
NIFTY,30-Jan-2014,30-Jun-2016,6000,405.75,1676.55,6073.7,
NIFTY,04-Mar-2014,25-Jun-2015,7500,825,1548.85,6297.95,0.405407022588902
NIFTY,07-Mar-2014,29-Jun-2017,4000,148.35,2558.6,6526.65,0.789727981140224
NIFTY,05-Feb-2014,26-Jun-2014,6400,395,1070,6022.4,1.27812681721072
NIFTY,05-Feb-2014,28-Jun-2018,4600,92.45,2453.9,6022.4,0.502572700469205
NIFTY,19-Feb-2014,31-Dec-2015,6400,617.2,2838.9,6152.75,0.070121535454717
